,natl_id,Label,address,State,zipcode,cat1,cat2,cat3,url,Notes,lon,lat
78,78,"Paulding Putnam Electric Cooperative, Inc.","401 McDonald Pike, Paulding, OH 45879, USA",OH,45879,First Tier,Distribution,Distribution,https://ppec.coop/,,-84.592718,41.132618
79,79,Northeastern REMC,"4901 E Park 30, Columbia City, IN 46725, USA",IN,46725,First Tier,Distribution,Distribution,http://www.nremc.com/,,-85.398418,41.135073
80,80,Jay County REMC,"484 S 200 W, Portland, IN 47371, USA",IN,47371,First Tier,Distribution,Distribution,https://www.jayremc.com/,,-85.0197191,40.4317726
81,81,Heartland REMC,"4563 E Markle Rd, Markle, IN 46770, USA",IN,46770,First Tier,Distribution,Distribution,https://www.heartlandremc.com/,,-85.363576,40.82802
82,82,Kosciusko REMC,"370 S 250 E, Warsaw, IN 46582, USA",IN,46582,First Tier,Distribution,Distribution,http://kremc.com/,,-85.7922188,41.2291109
83,83,Marshall County REMC,"11299 12th Rd, Plymouth, IN 46563, USA",IN,46563,First Tier,Distribution,Distribution,http://www.marshallremc.com/,,-86.2762218,41.3029562
84,84,Fulton County REMC,"1448 W State Rd 14, Rochester, IN 46975, USA",IN,46975,First Tier,Distribution,Distribution,http://www.fultoncountyremc.coop/,,-86.26994,41.054855
85,85,Miami-Cass REMC,"3086 W 100 N, Peru, IN 46970, USA",IN,46970,First Tier,Distribution,Distribution,http://www.mcremc.coop/,,-86.1302268,40.7793046
86,86,Carroll White REMC,"302 N 6th St, Monticello, IN 47960, USA",IN,47960,First Tier,Distribution,Distribution,https://www.cwremc.com/,,-86.775261,40.747382
87,87,Kankakee Valley REMC,"8642 US-30, Wanatah, IN 46390, USA",IN,46390,First Tier,Distribution,Distribution,https://www.kvremc.com/,,-86.8647589,41.4338524
88,88,Jasper County REMC,"280 E Wood Rd, Rensselaer, IN 47978, USA",IN,47978,First Tier,Distribution,Distribution,http://www.jasperremc.com/,,-87.1553774,40.9563623
89,89,Newton County REMC,"4151 US-24, Goodland, IN 47948, USA",IN,47948,First Tier,Distribution,Distribution,http://www.newtoncountyremc.com/,,-87.312553,40.765185
90,90,Warren County REMC,"15 Midway St, Williamsport, IN 47993, USA",IN,47993,First Tier,Distribution,Distribution,https://www.wcremc.com/,,-87.2952271,40.2868523
91,91,Tipmont REMC,"403 S Main St, Linden, IN 47955, USA",IN,47955,First Tier,Distribution,Distribution,https://www.tipmont.org/,,-86.9032143,40.1842633
92,92,Boone REMC,"1207 Indianapolis Ave, Lebanon, IN 46052, USA",IN,46052,First Tier,Distribution,Distribution,https://www.bremc.com/,,-86.4545039,40.0371334
93,93,Hendricks Power Cooperative,"86 North CR-500 East, Avon, IN 46123, USA",IN,46123,First Tier,Distribution,Distribution,https://www.hendrickspower.com/,,-86.43949,39.76362
94,94,Johnson County REMC,"750 International Dr, Franklin, IN 46131, USA",IN,46131,First Tier,Distribution,Distribution,http://jcremc.com/,,-86.0691575,39.5179685
95,95,South Central Indiana REMC,"300 Morton Ave, Martinsville, IN 46151, USA",IN,46151,First Tier,Distribution,Distribution,https://www.sciremc.com/,,-86.4323865,39.4172926
96,96,NineStar Connect,"2243 E Main St, Greenfield, IN 46140, USA",IN,46140,First Tier,Distribution,Distribution,https://www.ninestarconnect.com/,,-85.7319697,39.7858383
97,97,Parke County REMC,"119 W High St, Rockville, IN 47872, USA",IN,47872,First Tier,Distribution,Distribution,https://pcremc.com/content/parke-county-remc-news,,-87.2286139,39.7612049
98,98,Utilities District of Western Indiana REMC,"1666 W State Rd 54, Bloomfield, IN 47424, USA",IN,47424,First Tier,Distribution,Distribution,https://www.udwiremc.com/,,-86.9721069,39.0289835
99,99,WIN Energy REMC,"3981 US-41, Vincennes, IN 47591, USA",IN,47591,First Tier,Distribution,Distribution,http://www.winenergyremc.com/,,-87.5370455,38.6181949
100,100,Daviess-Martin County REMC,"12628 E 75 N, Loogootee, IN 47553, USA",IN,47553,First Tier,Distribution,Distribution,http://www.dmremc.com/,,-86.928774,38.669204
101,101,"Dubois REC, Inc.","1400 Energy Drive, Jasper, IN 47546, USA",IN,47546,First Tier,Distribution,Distribution,http://www.duboisrec.com/,,-86.9057047,38.3632021
102,102,Southern Indiana Power,"1776 10th St, Tell City, IN 47586, USA",IN,47586,First Tier,Distribution,Distribution,http://www.sinpwr.com/,,-86.7661473,37.9665956
103,103,Orange County REMC,"7133 IN-337, Orleans, IN 47452, USA",IN,47452,First Tier,Distribution,Distribution,http://myremc.coop/,,-86.43789,38.659949
104,104,Jackson County REMC,"274 E Base Rd, Brownstown, IN 47220, USA",IN,47220,First Tier,Distribution,Distribution,https://www.jacksonremc.com/,,-86.0326094,38.8815365
105,105,Harrison REMC,"1165 Old Forest Rd NW, Corydon, IN 47112, USA",IN,47112,First Tier,Distribution,Distribution,http://www.harrisonremc.com/,,-86.1480832,38.2184912
106,106,Clark County REMC,"1859, 7810 IN-60, Sellersburg, IN 47172, USA",IN,47172,First Tier,Distribution,Distribution,https://www.theremc.com/,,-85.7652339,38.3751418
107,107,Southeastern Indiana REMC,"712 S Buckeye St, Osgood, IN 47037, USA",IN,47037,First Tier,Distribution,Distribution,https://www.seiremc.com/,,-85.2885117,39.123268
108,108,Bartholomew County REMC,"1697 W Deaver Rd, Columbus, IN 47201, USA",IN,47201,First Tier,Distribution,Distribution,https://www.bcremc.com/,,-85.942153,39.1481478
109,109,Decatur County REMC,"1430 W Main St, Greensburg, IN 47240, USA",IN,47240,First Tier,Distribution,Distribution,http://www.dcremc.com/,,-85.5065032,39.3369001
110,110,RushShelby Energy,"2777 S 840 W, Manilla, IN 46150, USA",IN,46150,First Tier,Distribution,Distribution,http://rse.coop/,,-85.6040516,39.5720477
111,111,Henry County REMC,"3400 S State Road 3, New Castle, IN 47362, USA",IN,47362,First Tier,Distribution,Distribution,http://www.hcremc.com/,,-85.3838707,39.88297
112,112,Whitewater Valley REMC,"101 Brownsville Ave, Liberty, IN 47353, USA",IN,47353,First Tier,Distribution,Distribution,https://www.wwvremc.com/,,-84.9312422,39.6375186
113,113,Touchstone Energy Camp,"4301 Wilson Blvd, Arlington, VA 22203, USA",IN,47923,No Tier,Program,Youth Development,https://www.indianaec.org/Program/youth/touchstone-energy-camp/,,-77.112987,38.880529
114,114,Powershift,,IN,46214,No Tier,Program,Energy Savings,https://www.powermoves.com/,,NA,NA
115,115,Co-op Solar,"296 Nonotuck St Suite #4, Northampton, MA 01062, USA",IN,46214,No Tier,Program,Solar,https://www.powermoves.com/co-op-solar/solar-dashboard/,,-72.676393,42.330114
116,116,Operation Round-up,"242 24th Ave NW, Norman, OK 73069, USA",IN,73069,No Tier,Program,Community,,,-97.4774301,35.2215373
117,117,Steuben County Industrial Guild,"Steuben County, IN, USA",IN,46703,No Tier,Other,Development,https://steubenedc.com/Program-and-services/organizations-we-support/industrial-guild,,-84.981754,41.6115471
118,118,Steuben County Economic Development Corporation,"907 S Wayne St Suite 100, Angola, IN 46703, USA",IN,46703,No Tier,Other,Development,https://steubenedc.com/,,-84.998602,41.627125
119,119,Steuben County Tourism Bureau,"430 N Wayne St Suite 1B, Angola, IN 46703, USA",IN,46703,No Tier,Other,Development,https://visitsteubencounty.com/,,-84.998891,41.638883
120,120,Steuben County Chamber of Commerce,"47 Liberty St, Bath, NY 14810, USA",IN,46703,No Tier,Other,Development,https://steubenedc.com/Program-and-services/chambers-of-commerce/,,-77.317818,42.335786
121,121,Wabash Valley Power Association,"722 N High School Rd, Indianapolis, IN 46214, USA",IN,46214,Second Tier,CBN,G&T,https://www.wvpa.com/,,-86.2730289,39.7758899
122,122,Power Moves,"253 W Merrick Rd, Valley Stream, NY 11580, USA",IN,46214,No Tier,Program,Energy Savings,https://www.powermoves.com/,,-73.7064523,40.6675077
123,123,Indiana Connection,"6640 Intech Blvd #250, Indianapolis, IN 46278, USA",IN,46240,No Tier,Other,Press,https://www.indianaconnection.org/,,-86.275313,39.875871
124,124,Together We Save,,IN,NA,No Tier,Program,Consumer Saivings,https://www.touchstoneenergy.com/together-we-save/overview/,,NA,NA
125,125,Envirowatts,,IN,NA,No Tier,Program,Development,,funding for environmental projects in community,NA,NA
126,126,Beat the Peak,,IN,NA,No Tier,Program,Community,https://ppec.coop/acrecopa-sign-up/,,NA,NA
127,127,ACRE/COPA,,IN,NA,No Tier,Program,Political Action,,,NA,NA
128,128,OurSolar,,IN,NA,No Tier,Program,Solar,https://www.oursolar.coop/pauldingputnam/,,NA,NA
129,129,Paulding County Economic Development,"101 E Perry St, Paulding, OH 45879, USA",OH,45879,No Tier,Other,Economic Development,https://www.pced.net/,,-84.5806834,41.1373221
130,130,Putnam County CIC,"115 S Fair St, Ottawa, OH 45875, USA",OH,45875,No Tier,Other,Economic Development,https://www.putnamcountyohio.com/,,-84.0292478,41.0194474
131,131,Defiance County Economic Development,"1300 E 2nd St # 201, Defiance, OH 43512, USA",OH,43512,No Tier,Other,Economic Development,https://www.defecon.com/,,-84.341384,41.283784
132,132,Van Wert County Economic Development,"145 E Main St, Van Wert, OH 45891, USA",OH,45891,No Tier,Other,Economic Development,https://vanwertcounty.org/,,-84.5810635,40.8697565
133,133,Van Wert City Economic Development,"145 E Main St, Van Wert, OH 45891, USA",OH,45891,No Tier,Other,Economic Development,http://www.whyvanwert.org/,,-84.5810635,40.8697565
134,134,Regional Chamber of Northeast Indiana,"200 E Main St, Fort Wayne, IN 46802, USA",IN,46802,No Tier,Other,Business Association,https://neinadvocates.com/,,-85.1374025,41.0803806
135,135,Greater Fort Wayne Inc.,"200 E Main St #800, Fort Wayne, IN 46802, USA",IN,46802,No Tier,Other,Business Association,https://www.greaterfortwayneinc.com/,,-85.1374025,41.0803806
136,136,Northeast Regional Partnership,"200 E Main St suite 910 a, Fort Wayne, IN 46802, USA",IN,46802,No Tier,Other,Business Association,https://neindiana.com/,,-85.137144,41.080499
137,137,New Haven Economic Development,"165 Church St # 513, New Haven, CT 06510, USA",IN,6510,No Tier,Other,Economic Development,http://newhaven.in.gov/economic-development/,,-72.9240018,41.3074532
